Season,round,home,visitor,hgoal,vgoal,tothgoal,totvgoal,totagg_home,totagg_visitor
2000,GroupG-prelim,PSV Eindhoven,Dinamo Kiev,2,1,2,1,3,1
2000,GroupE-prelim,Hamburger SV,Juventus,4,4,4,4,7,5
2000,GroupG-prelim,Manchester United,RSC Anderlecht,5,1,5,1,6,3
2000,GroupF-prelim,Rosenborg BK,Paris Saint-Germain,3,1,3,1,5,8
2000,GroupH-prelim,Leeds United,AC Milan,1,0,1,0,2,1
2000,GroupH-prelim,Besiktas,Barcelona,3,0,3,0,3,5
2000,GroupF-prelim,Bayern Munich,Rosenborg BK,3,1,3,1,4,2
2000,GroupE-prelim,Deportivo La Coruna,Hamburger SV,2,1,2,1,3,2
2000,GroupG-prelim,Dinamo Kiev,Manchester United,0,0,0,0,0,1
2000,GroupF-prelim,Paris Saint-Germain,Helsingborgs IF,4,1,4,1,5,2
2000,GroupE-prelim,Juventus,Panathinaikos,2,1,2,1,3,4
2000,GroupG-prelim,RSC Anderlecht,PSV Eindhoven,1,0,1,0,4,2
2000,GroupB-prelim,Arsenal,Shakhtar Donetsk,3,2,3,2,3,5
2000,GroupD-prelim,AS Monaco,Rangers,0,1,0,1,2,3
2000,GroupA-prelim,Bayer Leverkusen,Sporting CP,3,2,3,2,3,2
2000,GroupD-prelim,Sturm Graz,Galatasaray,3,0,3,0,5,2
2000,GroupB-prelim,Lazio,Sparta Praha,3,0,3,0,4,0
2000,GroupC-prelim,Olympiacos,Olympique Lyon,2,1,2,1,2,2
2000,GroupA-prelim,Real Madrid,Spartak Moskva,1,0,1,0,1,1
2000,GroupC-prelim,sc Heerenveen,Valencia CF,0,1,0,1,1,2
2000,GroupH-prelim,Barcelona,AC Milan,0,2,0,2,3,5
2000,GroupF-prelim,Paris Saint-Germain,Bayern Munich,1,0,1,0,1,2
2000,GroupH-prelim,Leeds United,Besiktas,6,0,6,0,6,0
2000,GroupE-prelim,Juventus,Deportivo La Coruna,0,0,0,0,1,1
2000,GroupG-prelim,Dinamo Kiev,RSC Anderlecht,4,0,4,0,6,4
2000,GroupE-prelim,Hamburger SV,Panathinaikos,0,1,0,1,0,1
2000,GroupF-prelim,Rosenborg BK,Helsingborgs IF,6,1,6,1,6,3
2000,GroupG-prelim,PSV Eindhoven,Manchester United,3,1,3,1,4,4
2000,GroupB-prelim,Arsenal,Lazio,2,0,2,0,3,1
2000,GroupD-prelim,AS Monaco,Sturm Graz,5,0,5,0,5,2
2000,GroupA-prelim,Bayer Leverkusen,Real Madrid,2,3,2,3,5,8
2000,GroupD-prelim,Galatasaray,Rangers,3,2,3,2,3,2
2000,GroupC-prelim,Olympiacos,sc Heerenveen,2,0,2,0,2,1
2000,GroupC-prelim,Valencia CF,Olympique Lyon,1,0,1,0,3,1
2000,GroupB-prelim,Sparta Praha,Shakhtar Donetsk,3,2,3,2,4,4
2000,GroupA-prelim,Spartak Moskva,Sporting CP,3,1,3,1,6,1
2000,GroupB-prelim,Lazio,Arsenal,1,1,1,1,1,3
2000,GroupD-prelim,Sturm Graz,AS Monaco,2,0,2,0,2,5
2000,GroupA-prelim,Real Madrid,Bayer Leverkusen,5,3,5,3,8,5
2000,GroupD-prelim,Rangers,Galatasaray,0,0,0,0,2,3
2000,GroupC-prelim,sc Heerenveen,Olympiacos,1,0,1,0,1,2
2000,GroupC-prelim,Olympique Lyon,Valencia CF,1,2,1,2,1,3
2000,GroupB-prelim,Shakhtar Donetsk,Sparta Praha,2,1,2,1,4,4
2000,GroupA-prelim,Sporting CP,Spartak Moskva,0,3,0,3,1,6
2000,GroupH-prelim,AC Milan,Barcelona,3,3,3,3,5,3
2000,GroupF-prelim,Bayern Munich,Paris Saint-Germain,2,0,2,0,2,1
2000,GroupH-prelim,Besiktas,Leeds United,0,0,0,0,0,6
2000,GroupE-prelim,Deportivo La Coruna,Juventus,1,1,1,1,1,1
2000,GroupG-prelim,RSC Anderlecht,Dinamo Kiev,4,2,4,2,4,6
2000,GroupE-prelim,Panathinaikos,Hamburger SV,0,0,0,0,1,0
2000,GroupF-prelim,Helsingborgs IF,Rosenborg BK,2,0,2,0,3,6
2000,GroupG-prelim,Manchester United,PSV Eindhoven,3,1,3,1,4,4
2000,GroupH-prelim,Besiktas,AC Milan,0,2,0,2,1,6
2000,GroupH-prelim,Leeds United,Barcelona,1,1,1,1,1,5
2000,GroupF-prelim,Bayern Munich,Helsingborgs IF,0,0,0,0,3,1
2000,GroupE-prelim,Deportivo La Coruna,Panathinaikos,1,0,1,0,2,1
2000,GroupG-prelim,Dinamo Kiev,PSV Eindhoven,0,1,0,1,1,3
2000,GroupE-prelim,Juventus,Hamburger SV,1,3,1,3,5,7
2000,GroupG-prelim,RSC Anderlecht,Manchester United,2,1,2,1,3,6
2000,GroupF-prelim,Paris Saint-Germain,Rosenborg BK,7,2,7,2,8,5
2000,GroupB-prelim,Arsenal,Sparta Praha,4,2,4,2,5,2
2000,GroupD-prelim,AS Monaco,Galatasaray,4,2,4,2,6,5
2000,GroupA-prelim,Bayer Leverkusen,Spartak Moskva,1,0,1,0,1,2
2000,GroupB-prelim,Lazio,Shakhtar Donetsk,5,1,5,1,8,1
2000,GroupC-prelim,Olympiacos,Valencia CF,1,0,1,0,2,2
2000,GroupC-prelim,sc Heerenveen,Olympique Lyon,0,2,0,2,1,5
2000,GroupD-prelim,Sturm Graz,Rangers,2,0,2,0,2,5
2000,GroupA-prelim,Real Madrid,Sporting CP,4,0,4,0,6,2
2000,GroupB-prelim,Shakhtar Donetsk,Arsenal,3,0,3,0,5,3
2000,GroupD-prelim,Rangers,AS Monaco,2,2,2,2,3,2
2000,GroupA-prelim,Sporting CP,Bayer Leverkusen,0,0,0,0,2,3
2000,GroupD-prelim,Galatasaray,Sturm Graz,2,2,2,2,2,5
2000,GroupB-prelim,Sparta Praha,Lazio,0,1,0,1,0,4
2000,GroupC-prelim,Olympique Lyon,Olympiacos,1,0,1,0,2,2
2000,GroupA-prelim,Spartak Moskva,Real Madrid,1,0,1,0,1,1
2000,GroupC-prelim,Valencia CF,sc Heerenveen,1,1,1,1,2,1
2000,GroupH-prelim,AC Milan,Leeds United,1,1,1,1,1,2
2000,GroupH-prelim,Barcelona,Besiktas,5,0,5,0,5,3
2000,GroupF-prelim,Rosenborg BK,Bayern Munich,1,1,1,1,2,4
2000,GroupE-prelim,Hamburger SV,Deportivo La Coruna,1,1,1,1,2,3
2000,GroupG-prelim,Manchester United,Dinamo Kiev,1,0,1,0,1,0
2000,GroupF-prelim,Helsingborgs IF,Paris Saint-Germain,1,1,1,1,2,5
2000,GroupE-prelim,Panathinaikos,Juventus,3,1,3,1,4,3
2000,GroupG-prelim,PSV Eindhoven,RSC Anderlecht,2,3,2,3,2,4
2000,GroupB-inter,AC Milan,Galatasaray,2,2,2,2,2,4
2000,GroupB-inter,Paris Saint-Germain,Deportivo La Coruna,1,3,1,3,4,7
2000,GroupA-inter,Manchester United,Panathinaikos,3,1,3,1,4,2
2000,GroupA-inter,Valencia CF,Sturm Graz,2,0,2,0,7,0
2000,GroupC-inter,Spartak Moskva,Arsenal,4,1,4,1,4,2
2000,GroupC-inter,Bayern Munich,Olympique Lyon,1,0,1,0,1,3
2000,GroupD-inter,RSC Anderlecht,Lazio,1,0,1,0,2,2
2000,GroupD-inter,Leeds United,Real Madrid,0,2,0,2,2,5
